State,Job,Median Salary,Description,2022,2021,2020,2019,2018
Alabama,Dentist,139246,Level I(Junior/Apprentice/Entry)-138228 & LevelII(Senior) -139246,139246,138152,141174,144961,139827
Alabama,Nurse,64043,Level I(Junior/Apprentice/Entry)-61832 & LevelII(Senior) -64043,64043,61500,64588,69422,61247
Alabama,Pharmacist,108595,Level I(Junior/Apprentice/Entry)-103191 & LevelII(Senior) -108595,108595,109977,111834,116302,107986
Alabama,Computer Systems Analyst,73738,Level I(Junior/Apprentice/Entry)-71991 & LevelII(Senior) -73738,73738,75747,75422,84074,74380
Alabama,Physician,179638,Level I(Junior/Apprentice/Entry)-177349 & LevelII(Senior) -179638,179638,178074,179595,184461,179595
Alabama,Database Administrator,72467,Level I(Junior/Apprentice/Entry)-70891 & LevelII(Senior) -72467,72467,70709,70194,79065,70847
Alabama,Software Developer,94726,Level I(Junior/Apprentice/Entry)-93150 & LevelII(Senior)-94726,94726,86097,84715,94345,94211
Alabama,Physical Therapist,73134,Level I(Junior/Apprentice/Entry)-69463 & LevelII(Senior) -73134,73134,72998,73115,81605,74682
Alabama,Web Developer,79679,Level I(Junior/Apprentice/Entry)-76246 & LevelII(Senior)-79679,79679,75179,73758,80638,79601
Alabama,Dental Hygienist,70345,Level I(Junior/Apprentice/Entry)-65747 & LevelII(Senior)-70345,70345,66557,66588,74161,71748
Alabama,Occupational Therapist,70530,Level I(Junior/Apprentice/Entry)-69328 & LevelII(Senior) -70530,70530,71928,70005,75685,71897
Alabama,Veterinarian,84516,Level I(Junior/Apprentice/Entry)-79973 & LevelII(Senior)-84516,84516,78342,77850,85229,87538
Alabama,Computer Programmer,69338,Level I(Junior/Apprentice/Entry)-64406 & LevelII(Senior) -69338,69338,66826,67940,75478,71212
Alabama,School Psychologist,66812,Level I(Junior/Apprentice/Entry)-62522 & LevelII(Senior) -66812,66812,64907,64326,68695,64397
Alabama,Physical Therapist Assistant,52531,Level I(Junior/Apprentice/Entry)-49608 & LevelII(Senior)-52531,52531,49481,50149,56136,52358
Alabama,Interpreter & Translator,40628,Level I(Junior/Apprentice/Entry)-36957 & LevelII(Senior) -40628,40628,40628,39970,47764,43460
Alabama,Mechanical Engineer,72608,Level I(Junior/Apprentice/Entry)-68010 & LevelII(Senior) -72608,72608,73753,70568,78423,73211
Alabama,Veterinary Technologist & Technician,33032,Level I(Junior/Apprentice/Entry)-31173 & LevelII(Senior)-33032,33032,26707,26469,34430,35072
Alabama,Epidemiologist,66531,Level I(Junior/Apprentice/Entry)-63608 & LevelII(Senior)-66531,66531,62031,60030,67568,65120
Alabama,IT Manager,122853,Level I(Junior/Apprentice/Entry)-121835 & LevelII(Senior)-122853,122853,114639,115387,123242,121814
Alabama,Market Research Analyst,64021,Level I(Junior/Apprentice/Entry)-62445 & LevelII(Senior)-64021,64021,57427,58491,63273,61215
Alabama,Diagnostic Medical Sonographer,61906,Level I(Junior/Apprentice/Entry)-56710 & LevelII(Senior) -61906,61906,60595,63834,66428,60614
Alabama,Computer Systems Administrator,72161,Level I(Junior/Apprentice/Entry)-70970 & LevelII(Senior)-72161,72161,69779,69223,71988,76060
Alabama,Respiratory Therapist,58982,Level I(Junior/Apprentice/Entry)-53786 & LevelII(Senior)-58982,58982,54485,50418,60754,58273
